#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between leachate and solid char sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the metadata files and this file. Each leachate has a Parent_IGSN which is the IGSN registered for each solid char from which each leachate replicate was subsampled. ,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Sample_Description,Collection_Method,Size,Size_Unit,Collector_Chief_Scientist,Collection_Date,Current_Archive,Current_Archive_Contact
BSLE_0019B,IEPRS00O7,IEPRS005V,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; dead; burn table; end char; low severity; 477.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0019C,IEPRS00O8,IEPRS005V,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; dead; burn table; end char; low severity; 477.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0020,IEPRS005W,N/A,Organic Material,douglas-fir ponderosa pine; wet; dead; burn table; 300 degC grab; low severity; 364.9 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0020A,IEPRS00O9,IEPRS005W,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; dead; burn table; 300  degC grab; low severity; 364.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-07,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0020B,IEPRS00OA,IEPRS005W,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; dead; burn table; 300  degC grab; low severity; 364.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-07,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0020C,IEPRS00OB,IEPRS005W,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; dead; burn table; 300  degC grab; low severity; 364.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-07,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0021,IEPRS005X,N/A,Organic Material,big sagebrush ponderosa pine; wet; living; burn table; end char; low severity; 634.5 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0021A,IEPRS00OC,IEPRS005X,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; living; burn table; end char; low severity; 634.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-01,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0021B,IEPRS00OD,IEPRS005X,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; living; burn table; end char; low severity; 634.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-01,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0021C,IEPRS00OE,IEPRS005X,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; living; burn table; end char; low severity; 634.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-01,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0022,IEPRS005Y,N/A,Organic Material,douglas-fir ponderosa pine; wet; dead; muffle; end char; low severity; 250 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-04-20,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0022A,IEPRS00OF,IEPRS005Y,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; dead; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-01-17,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0022B,IEPRS00OG,IEPRS005Y,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; dead; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-01-17,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0022C,IEPRS00OH,IEPRS005Y,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; dead; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-01-17,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0023,IEPRS005Z,N/A,Organic Material,douglas-fir ponderosa pine; wet; living; burn table; 300 degC grab; low severity; 375.8 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0023A,IEPRS00OI,IEPRS005Z,Liquid>aqueous,24-hour leachates from douglas-fir ponderosa pine; wet; living; burn table; 300  degC grab; low severity; 375.8  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-05-31,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0023B,IEPRS00OJ,IEPRS005Z,Liquid>aqueous,24-hour leachates from douglas-fir ponderosa pine; wet; living; burn table; 300  degC grab; low severity; 375.8  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-05-31,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0023C,IEPRS00OK,IEPRS005Z,Liquid>aqueous,24-hour leachates from douglas-fir ponderosa pine; wet; living; burn table; 300  degC grab; low severity; 375.8  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-05-31,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0024,IEPRS0060,N/A,Organic Material,douglas-fir ponderosa pine; dry; dead; muffle; end char; low severity; 250 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-04-15,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0024A,IEPRS00OL,IEPRS0060,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; dead; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0024B,IEPRS00OM,IEPRS0060,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; dead; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0024C,IEPRS00ON,IEPRS0060,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; dead; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0025,IEPRS0061,N/A,Organic Material,douglas-fir ponderosa pine; wet; living; burn table; 600 degC grab; low severity; 615.9 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0025A,IEPRS00OO,IEPRS0061,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; living; burn table; 600  degC grab; low severity; 615.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-04-04,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0025B,IEPRS00OP,IEPRS0061,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; living; burn table; 600  degC grab; low severity; 615.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-04-04,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0025C,IEPRS00OQ,IEPRS0061,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; living; burn table; 600  degC grab; low severity; 615.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-04-04,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0026,IEPRS0062,N/A,Organic Material,big sagebrush ponderosa pine; wet; living; burn table; 600 degC grab; moderate severity; 584.8 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0026A,IEPRS00OR,IEPRS0062,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; living; burn table; 600  degC grab; moderate severity; 584.8  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0026B,IEPRS00OS,IEPRS0062,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; living; burn table; 600  degC grab; moderate severity; 584.8  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0026C,IEPRS00OT,IEPRS0062,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; living; burn table; 600  degC grab; moderate severity; 584.8  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0027,IEPRS0063,N/A,Organic Material,douglas-fir ponderosa pine; dry; living; muffle; end char; low severity; 250 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-04-15,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0027A,IEPRS00OU,IEPRS0063,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; living; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-02-21,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0027B,IEPRS00OV,IEPRS0063,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; living; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-04-04,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0027C,IEPRS00OW,IEPRS0063,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; living; muffle; end char; low severity; 250  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-04-04,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0028,IEPRS0064,N/A,Organic Material,douglas-fir ponderosa pine; dry; dead; burn table; 300 degC grab; low severity; 337.5 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0028A,IEPRS00OX,IEPRS0064,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; dead; burn table; 300  degC grab; low severity; 337.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-01-10,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0028B,IEPRS00OY,IEPRS0064,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; dead; burn table; 300  degC grab; low severity; 337.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-01-10,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0028C,IEPRS00OZ,IEPRS0064,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; dead; burn table; 300  degC grab; low severity; 337.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-01-10,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0029,IEPRS0065,N/A,Organic Material,douglas-fir ponderosa pine; dry; dead; burn table; 600 degC grab; moderate severity; 599.5 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0029A,IEPRS00P0,IEPRS0065,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; dead; burn table; 600  degC grab; moderate severity; 599.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-01-10,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0029B,IEPRS00P1,IEPRS0065,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; dead; burn table; 600  degC grab; moderate severity; 599.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-01-10,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0029C,IEPRS00P2,IEPRS0065,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; dry; dead; burn table; 600  degC grab; moderate severity; 599.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-01-10,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0030,IEPRS0066,N/A,Organic Material,big sagebrush ponderosa pine; dry; dead; burn table; 600 degC grab; low severity; 602.5 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0030A,IEPRS00P3,IEPRS0066,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; dry; dead; burn table; 600  degC grab; low severity; 602.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0030B,IEPRS00P4,IEPRS0066,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; dry; dead; burn table; 600  degC grab; low severity; 602.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0030C,IEPRS00P5,IEPRS0066,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; dry; dead; burn table; 600  degC grab; low severity; 602.5  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0031,IEPRS0067,N/A,Organic Material,big sagebrush ponderosa pine; wet; dead; burn table; 300 degC grab; low severity; 389.1 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0031A,IEPRS00P6,IEPRS0067,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; dead; burn table; 300  degC grab; low severity; 389.1  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0031B,IEPRS00P7,IEPRS0067,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; dead; burn table; 300  degC grab; low severity; 389.1  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0031C,IEPRS00P8,IEPRS0067,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; dead; burn table; 300  degC grab; low severity; 389.1  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0032,IEPRS0068,N/A,Organic Material,big sagebrush ponderosa pine; wet; living; burn table; 300 degC grab; low severity; 279.6 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0032A,IEPRS00P9,IEPRS0068,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; living; burn table; 300  degC grab; low severity; 279.6  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0032B,IEPRS00PA,IEPRS0068,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; living; burn table; 300  degC grab; low severity; 279.6  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0032C,IEPRS00PB,IEPRS0068,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; wet; living; burn table; 300  degC grab; low severity; 279.6  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-02,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0033,IEPRS0069,N/A,Organic Material,big sagebrush ponderosa pine; dry; living; burn table; end char; moderate severity; 736.6 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0033A,IEPRS00PC,IEPRS0069,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; dry; living; burn table; end char; moderate severity; 736.6  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-06,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0033B,IEPRS00PD,IEPRS0069,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; dry; living; burn table; end char; moderate severity; 736.6  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-06,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0033C,IEPRS00PE,IEPRS0069,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; dry; living; burn table; end char; moderate severity; 736.6  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-06,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0034,IEPRS006A,N/A,Organic Material,douglas-fir ponderosa pine; dry; living; burn table; 600 degC grab; low severity; 570.1 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0034A,IEPRS00PF,IEPRS006A,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from douglas-fir ponderosa pine; dry; living; burn table; 600  degC grab; low severity; 570.1  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-05-31,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0034B,IEPRS00PG,IEPRS006A,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from douglas-fir ponderosa pine; dry; living; burn table; 600  degC grab; low severity; 570.1  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-05-31,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0034C,IEPRS00PH,IEPRS006A,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from douglas-fir ponderosa pine; dry; living; burn table; 600  degC grab; low severity; 570.1  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-01,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0035,IEPRS006B,N/A,Organic Material,big sagebrush ponderosa pine; dry; living; burn table; 300 degC grab; low severity; 336.9 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-09,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0035A,IEPRS00PI,IEPRS006B,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; dry; living; burn table; 300  degC grab; low severity; 336.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-06,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0035B,IEPRS00PJ,IEPRS006B,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; dry; living; burn table; 300  degC grab; low severity; 336.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-06,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0035C,IEPRS00PK,IEPRS006B,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams big sagebrush ponderosa pine; dry; living; burn table; 300  degC grab; low severity; 336.9  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-06,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0036,IEPRS006C,N/A,Organic Material,douglas-fir ponderosa pine; wet; living; burn table; 300 degC grab; low severity; 447 degC,Experimental Apparatus,-9999,N/A,Samantha Grieger, 2021-06-08,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
BSLE_0036A,IEPRS00PL,IEPRS006C,Liquid>aqueous,This sample volume was leached in synthetic rainwater for 24 hours at 25 degC at 160 revolutions per minute (rpm) from 25 grams douglas-fir ponderosa pine; wet; living; burn table; 300  degC grab; low severity; 447  degC,Experimental Apparatus,1000,milliliters,Samantha Grieger, 2022-06-01,Pacific Northwest National Laboratory Sequim Campus,Allison Myers-Pigg; allison.myers-pigg@pnnl.gov
